DiseaseName,DiseaseDescription
Aplastic anemia,"What is aplastic anemia?
Aplastic anemia occurs when your bone marrow doesn’t make enough red and white blood cells, and platelets. Having fewer red blood cells causes hemoglobin to drop.
Hemoglobin is the part of blood that carries oxygen through your body. Having fewer white blood cells makes you more likely to get an infection. And having fewer platelets makes the blood too thin. This means your blood can’t clot the way it should.
What causes aplastic anemia?
Aplastic anemia has many causes. Sometimes it occurs for no known reason. Other causes are linked to a previous illness or disorder. Acquired causes may include:
History of certain infectious diseases (such as hepatitis, HIV, Epstein-Barr virus, CMV, or paravirus B19)
History of taking certain medicines, such as antibiotics and anticonvulsants
Exposure to certain toxins, such as heavy metals
Exposure to radiation
History of an autoimmune disease, such as lupus
Inherited condition"
Apnea of prematurity,"What is apnea of prematurity?
Apnea of prematurity occurs when newborns, especially those born prematurely, stop breathing for short periods of time. Apnea can be caused by immaturity of the brain and weakness of the muscles that keep the airway open. At times, additional stresses in a premature baby — including infection, heart or lung problems, low blood count, low oxygen levels, temperature problems, feeding problems and overstimulation — may worsen apnea.
Symptoms
Very shallow breathing. The baby may also experience a drop in the heart rate, known as bradycardia. The baby may or may not have associated poor color and an appearance of not looking well.
Diagnosis
Because most preterm babies have some degree of apnea, they are usually kept on monitors that measure heart rate and breathing rate. Alarms are set to notify the staff when lower heart rate or breathing rate limits are met.
Treatment
Treatment of apnea depends on the most likely causes, the frequency of apnea spells and the severity of spells. Babies who appear to be otherwise healthy with few spells per day are simply watched and can be gently stimulated during their occasional episodes. Babies who appear well but with multiple spells may be placed on a caffeine preparation to help stimulate their breathing. Proper positioning, slower feeding time, oxygen and in some cases ventilator support may be needed to assist in breathing.
Prognosis
Because apnea is common in premature newborns and because most of these babies have normal outcomes, it is felt that mild apnea does not have long-term effects. However, most doctors feel that prevention of multiple or severe episodes is better for the baby in the long run."
Appendicitis,"What is appendicitis?
The appendix is a thin tube that is joined to the large intestine. It sits in the lower right part of your belly (abdomen). When you are a young child, your appendix is a working part of your immune system, which helps your body to fight disease. When you are older, your appendix stops doing this and other parts of your body keep helping to fight infection.
The appendix can get infected. If not treated it can burst (rupture). This can happen as soon as 48 to 72 hours after you have symptoms. Because of this, appendicitis is a medical emergency. If you have symptoms, see a doctor right away to avoid more infection, which can be life-threatening."
Arteriovenous malformations,"Arteriovenous malformations (AVMs) happen when a group of blood vessels in your body forms incorrectly. In these malformations, arteries and veins are unusually tangled and form direct connections, bypassing normal tissues. This usually happens during development before birth or shortly after.
Most people with AVMs have no initial symptoms or problems. Instead, the problem is discovered when health care providers treat another unrelated health concern. Sometimes the rupture of one of the blood vessels in an AVM will bring the issue to medical attention. Sometimes AVMs are only found after death, during an autopsy.
© Eleanor Bailey
Facts About AVMs
Most people with AVMs will never have any problems. If symptoms have not appeared by the time a person is 50, they may never appear. Women sometimes have symptoms as a result of the burden that pregnancy places on the blood vessels. Nearly 12 percent of people with AVMs do have some symptoms, however.
No one knows why AVMs form. Some experts believe that the risk of developing AVMs could be genetic. AVMs can form anywhere in the body. Those that form in the brain or close to the spinal cord, called neurological AVMs, are most likely to have long-term effects.
The biggest concern related to AVMs is that they will cause uncontrolled bleeding, or hemorrhage. Fewer than 4 percent of AVMs hemorrhage, but those that do can have severe, even fatal, effects. Death as a direct result of an AVM happens in about 1 percent of people with AVMs.
Sometimes AVMs can reduce the amount of oxygen getting to the brain and spinal cord (this is sometimes called a ""steal"" effect, as if the blood were being ""stolen"" from where it should be flowing). AVMs can sometimes put pressure on surrounding tissues. Steal can also occur elsewhere in the body, such as in the hands or feet, but may not be as apparent.
An AVM occurs when arteries and veins aren't formed correctly in an area of the body. Normally arteries take blood from the heart to the body. Blood with fresh oxygen and nutrients is brought through the arteries into very tiny vessels called capillaries. Through these tiny vessels, blood travels into the body's tissues. Blood then leaves the tissues through the capillaries and empties into veins, which bring blood back to the heart. Capillaries are tiny vessels that help the blood to slow down. This allows the blood to deliver oxygen and nutrients into tissues.
In an AVM, there are no capillaries, so blood does not slow down, and it does not get to deliver oxygen and nutrients to the body's tissues. Instead, blood that is flowing very fast (high flow) goes directly from an artery to a vein. Rarely, if there is a lot of flow through an AVM, it can cause the heart to work too hard to keep up, leading to heart failure.
Although present at birth, an AVM may be found soon after birth or much later in life, depending on its size and location. AVMs can become apparent after an accident or as a child grows into an adult (during puberty). As a patient's body grows, the AVM grows too.
AVMs grow and change over time. AVMs are often organized using a scale called the Schöbinger staging system. Not all AVMS go through every stage.
Stage I (quiescence): The AVM is ""quiet."" The skin on top of the AVM may be warm and pink or red.
Stage II (expansion): The AVM gets larger. A pulse can be felt or heard in the AVM.
Stage III (destruction): The AVM causes pain, bleeding or ulcers.
Stage IV (decompensation): Heart failure occurs."
Arthralgia,"What is arthralgia?
Arthralgia describes joint stiffness. Among its many causes are overuse, sprains, injury, gout, tendonitis and a number of infectious diseases, including rheumatic fever and chickenpox.
Symptoms
Symptoms can include:
Back pain
Loss of spine flexibility
Inflammation of the eyes, lungs and heart valves
Swelling and stiffness of the spine and sacroiliac joints
Diagnosis
Diagnosis requires careful clinical evaluation.
Treatment
For non-arthritis joint pain, rest and exercise can help, as can warm baths, massage and stretching exercises. On the advice of a physician, anti-inflammatory medications may help relieve pain and swelling."
Arthritis,"Arthritis and other rheumatic diseases are common conditions that cause pain, swelling, and limited movement. They affect joints and connective tissues around the body. Millions of people in the U.S. have some form of arthritis.
Arthritis means redness and swelling (inflammation) of a joint. A joint is where 2 or more bones meet. There are more than 100 different arthritis diseases. Rheumatic diseases include any condition that causes pain, stiffness, and swelling in joints, muscles, tendons, ligaments, or bones. Arthritis is usually ongoing (chronic).
Arthritis and other rheumatic diseases are more common in women than men. They are also often linked with old age. But they affect people of all ages.
The 2 most common forms of arthritis are:
Osteoarthritis. This is the most common type of arthritis. It is a chronic disease of the joints, especially the weight-bearing joints of the knee, hip, and spine. It destroys the coating on the ends of bones (cartilage) and narrows the joint space. It can also cause bone overgrowth, bone spurs, and reduced function. It occurs in most people as they age. It may also occur in young people because of an injury or overuse.
Rheumatoid arthritis. This is an inflammatory disease of the joint linings. The inflammation may affect all of the joints. It can also affect organs such as the heart or lungs.
Other forms of arthritis or related disorders include:
Gout. This condition causes uric acid crystals to build up in small joints, such as the big toe. It causes pain and inflammation.
Lupus. This is a chronic autoimmune disorder. It causes periods of inflammation and damage in joints, tendons, and organs.
Scleroderma. This autoimmune disease causes thickening and hardening of the skin and other connective tissue in the body.
Ankylosing spondylitis. This disease causes the bones of the spine to grow together. It can also cause inflammation in other parts of the body. It can affect the shoulders, hips, ribs, and the small joints of the hands and feet.
Juvenile idiopathic arthritis (JIA) or juvenile rheumatoid arthritis (JRA). This is a form of arthritis in children that causes inflammation and joint stiffness. Children often outgrow JRA. But it can affect bone development in a growing child.
Continue Reading"
Arthropathy,"What is arthropathy?
Arthropathy is a joint disease, of which arthritis is a type. Arthropathies can be associated with a hematologic (blood) disorder or an infection, such as Lyme disease.
Symptoms
Joint swelling, stiffness
Reduced range of motion
Diagnosis
Diagnosis requires careful clinical evaluation to determine the cause of the symptoms.
Treatment
Medicines and physical therapy can help maintain motion and ease pain and swelling."
Asthma,"Asthma is a chronic, inflammatory lung disease involving recurrent breathing problems. The characteristics of asthma are three airway problems:
Obstruction
Inflammation
Hyperresponsiveness
What are the symptoms of asthma?
Common symptoms of asthma are listed below. However, each individual may experience symptoms differently.
In some cases, the only symptom is a chronic cough, especially at night, or tightness, noisy breathing, or wheezing. Some people think they have recurrent bronchitis, since respiratory infections usually settle in the chest in a person predisposed to asthma.
Asthma may resemble other respiratory problems, such as emphysema, bronchitis, and lower respiratory infections. Many people with asthma do not know they have it. Consult your doctor for a diagnosis.
What causes asthma?
The basic cause of the lung abnormality in asthma is not yet known, although health care professionals have established that it is a special type of inflammation of the airway that leads to the following:
Contraction of airway muscles
Mucus production
Swelling in the airways
It is important to know that asthma is not caused by emotional factors—as was commonly believed years ago. Emotional anxiety and nervous stress can cause fatigue, which may affect the immune system and increase asthma symptoms or aggravate an attack. However, these reactions are considered to be more of an effect than a cause.
What happens during an asthma attack?
People with asthma have acute episodes when the air passages in their lungs get narrower, and breathing becomes more difficult. These problems are caused by an oversensitivity of the lungs and airways:
Lungs and airways overreact to certain triggers and become inflamed and clogged.
Breathing becomes harder and may hurt.
There may be coughing.
There may be a wheezing or whistling sound, which is typical of asthma. Wheezing occurs because:
Muscles that surround the airways tighten, and the inner lining of the airways swells and pushes inward.
Membranes that line the airways secrete extra mucus.
The mucus can form plugs that further block the air passages.
The rush of air through the narrowed airways produces the wheezing sounds.
What are the risk factors for an asthma attack?
Although anyone may have an asthma attack, it most commonly occurs in:
Children and adolescents between age 5 and 17
Females
People living in urban communities
Exposure to tobacco smoke
Other factors include:
Family history of asthma
Personal medical history of allergies
How is asthma diagnosed?
To diagnose asthma and distinguish it from other lung disorders, doctors rely on a combination of medical history, physical examination, and laboratory tests, which may include:
Spirometry. A spirometer is a device used by your doctor that assesses lung function. Spirometry is the evaluation of lung function with a spirometer. The test is performed by blowing as hard as possible into a tube connected to a small machine (a spirometer) that measures the amount of air breathed out and in as well as the speed it is breathed out. This is one of the simplest, most common pulmonary function tests and may be necessary for any/all of the following reasons:
To determine how well the lungs receive, hold, and utilize air
To monitor a lung disease
To monitor the effectiveness of treatment
To determine the severity of a lung disease
To determine whether the lung disease is restrictive (decreased airflow) or obstructive (disruption of airflow)
Peak flow monitoring (PFM). A device is used to measure the fastest speed in which a person can blow air out of the lungs. To use a peak flow meter, a person takes a deep breath in and then blows as hard and fast as possible into a mouthpiece. During an asthma or other respiratory flare-up, the large airways in the lungs slowly begin to narrow. This will slow the speed of air leaving the lungs and can be measured by a PFM. This measurement is very important in evaluating how well or how poorly the disease is being controlled.
Chest X-rays. This diagnostic test uses invisible electromagnetic energy beams to produce images of internal tissues, bones, and organs onto film.
Blood tests. Blood tests are used to analyze the amount of carbon dioxide and oxygen in the blood.
Allergy tests.
What is the treatment for asthma?
Specific treatment for asthma will be determined by your doctor based on:
Your age, overall health, and medical history
Your symptoms
Extent of the disease
Your tolerance for specific medications, procedures, or therapies
Expectations for the course of the disease
Your opinion or preference
As of yet, there is no cure for asthma. However, it can often be controlled with prescription medications that may help to prevent or relieve symptoms, and by learning ways to manage episodes.
How is asthma managed?
People with asthma can learn to identify and avoid the things that trigger an episode. They can also educate themselves about medications and other asthma management strategies:
Asthma is a chronic disease. It has to be cared for all the time—not just when symptoms are present:
The four parts of continually managing asthma are:
Identify and minimize contact with asthma triggers.
Understand and take medications as prescribed.
Monitor asthma to recognize signs when it is getting worse.
Know what to do when asthma gets worse.
Working with a health care professional is the best way to take care of asthma.
The more information a person with asthma has, the better asthma can be controlled.
Four components of asthma treatment
The use of objective measures of lung function—spirometry, peak flow expiratory flow rate—to access the severity of asthma, and to monitor the course of treatment.
The use of medication therapy designed to reverse and prevent the airway inflammation component of asthma, as well as to treat the narrowing airways.
The use of environmental control measures to avoid or eliminate factors that induce or trigger asthma flare-ups, including the consideration of immunotherapy.
Patient education that includes a partnership among the patient, family members, and the doctor.
Continue Reading"
Astigmatism,"What is astigmatism?
Astigmatism is a type of refractive error that usually presents at birth. An abnormal shape of the cornea or lens causes two focal points in two locations, making objects up close and at a distance appear blurry. Astigmatism may occur at the same time as nearsightedness or farsightedness."
Ataxia telangiectasia (A-T),"What is ataxia telangiectasia?
Ataxia telangiectasia (A-T) is a rare, inherited disease that affects several organs and systems, including the nervous and the immune systems. Most notably, it causes progressive degeneration of the cerebellum, the part of the brain that controls movement and speech. Symptoms develop in early childhood. Some of the complications of A-T include cancer (typically leukemia or lymphoma), recurrent infections and chronic lung disease.
Symptoms
Uncoordinated movements (ataxia)
Poor balance
Slurred speech
Feeding and swallowing problems
Spider veins (telangiectasia) on the whites of the eyes
Stunted physical growth and sexual development
Immunodeficiency
Recurrent respiratory infections
Sensitivity to X-ray
Diagnosis
Physical exam
Laboratory tests, such as measuring levels of alpha-fetoprotein
Genetic tests (ATM gene)
Treatment
There is no cure for A-T. Treatment involves managing the symptoms. This may include:
Physical, occupational and/or speech therapies
Supplemental nutritional support
Treatment of immunodeficiency
Timely treatment of infections
When to Call for Help
If your child develops the above symptoms, call your pediatrician."
Atelectasis bronchiectasis,"What is atelectasis?
Atelectasis, the collapse of part or all of a lung, is caused by a blockage of the air passages (bronchus or bronchioles) or by pressure on the lung. Risk factors for atelectasis include anesthesia, prolonged bed rest with few changes in position, shallow breathing and underlying lung disease. Mucus that plugs the airway, foreign objects in the airway (common in children) and tumors that obstruct the airway may lead to atelectasis. Large-scale atelectasis may be life threatening, especially in someone who has another lung disease or illness. In a baby or small child, lung collapse due to a mucus obstruction or other causes can be life threatening. 
Symptoms
Breathing difficulty
Chest pain
Cough
Diagnosis
Exams and tests include chest X-ray and bronchoscopy.
Treatment
The goal of treatment is to remove lung secretions and re-expand the affected lung tissue. Treatments include: 
Aerosolized respiratory treatments to open the airway
Positioning the body on the unaffected side to allow the lung to re-expand
Removing obstructions by bronchoscopy
Breathing exercises (incentive spirometry)
Clap, or percussion, on the chest to loosen mucus
Tilting the body (postural drainage) so that the head is lower than the chest to drain mucus
Treating a tumor or underlying condition, if present.
Prognosis
The collapsed lung usually reinflates gradually once the obstruction has been removed. However, some residual scarring or damage may occur. 
Atelectasis is treated by the Division of Pulmonary Medicine."
B12 deficiency,"What is vitamin B12 deficiency anemia?
Vitamin B12 deficiency anemia is a condition in which your body does not have enough healthy red blood cells, due to a lack (deficiency) of vitamin B12. This vitamin is needed to make red blood cells, which carry oxygen to all parts of your body. Without enough red blood cells, your tissues and organs don’t get enough oxygen. Without enough oxygen, your body can’t work as well.
Folic acid, also called folate, is another B vitamin. Anemias caused by a lack of vitamin B12 or a lack of folate are 2 types of megaloblastic anemia. With these types of anemia, the red blood cells don’t develop normally. They are very large. And they are shaped like an oval, not round like healthy red blood cells. This causes the bone marrow to make fewer red blood cells. In some cases the red blood cells die sooner than normal.
What causes vitamin B12 deficiency anemia?
Vitamin B12 deficiency anemia is more common in people whose families come from northern Europe. It is caused by one of the following:
Lack of intrinsic factor. Intrinsic factor is a protein made in the stomach. It is needed to absorb vitamin B12. This type of B12 deficiency anemia is called pernicious anemia.
Surgery that removes or bypasses the end of the small intestine. This part of the small intestine is where vitamin B12 is absorbed.
The inability to make intrinsic factor may be caused by several things, such as:
Chronic gastritis
Surgery to remove all or part of the stomach (gastrectomy)
An autoimmune condition, where the body attacks its own tissues
Other types of megaloblastic anemia may be linked with type 1 diabetes, thyroid disease, and a family history of the disease.
The inability to make intrinsic factor may be the result of several factors, such as chronic gastritis, gastrectomy (removal of all or part of the stomach), or an autoimmune condition (the body attacks its own tissues). Other types of megaloblastic anemia may be associated with type 1 diabetes, thyroid disease, and a family history of the disease.
Who is at risk for vitamin B12 deficiency anemia?
Risk factors for vitamin B12 deficiency anemia include:
A family history of the disease
Having part or all of your stomach or intestine removed
Autoimmune diseases, including type 1 diabetes
Crohn's disease
HIV
Some medicines
Strict vegetarian diets
Being an older adult
What are the symptoms of vitamin B12 deficiency anemia?
Each person’s symptoms may vary. Symptoms may include:
Weak muscles
Numb or tingling feeling in hands and feet
Trouble walking
Nausea
Decreased appetite
Weight loss
Irritability
Lack of energy or tiring easily (fatigue)
Diarrhea
Smooth and tender tongue
Fast heart rate
The symptoms of megaloblastic anemia may look like other blood conditions or health problems. Always see your healthcare provider for a diagnosis.
How is vitamin B12 deficiency anemia diagnosed?
This type of anemia is usually found during a medical exam through a routine blood test. Your healthcare provider will take your medical history and give you a physical exam.
Your provider may give you additional blood tests. You may also have other evaluation procedures, such as a bone marrow biopsy.
How is vitamin B12 deficiency anemia treated?
Your healthcare provider will figure out the best treatment for you based on:
How old you are
Your overall health and medical history
How sick you are
How well you handle certain medicines, treatments, or therapies
If your condition is expected to get worse
Your opinion or preference
Vitamin B12 deficiency anemia and folate deficiency anemia often occur together and can be hard to tell apart. Treatment may include vitamin B12 shots (injections) and folic acid pills.
Foods that are rich in folic acid include the following:
Orange juice
Oranges
Romaine lettuce
Spinach
Liver
Rice
Barley
Sprouts
Wheat germ
Soy beans
Green, leafy vegetables
Beans
Peanuts
Broccoli
Asparagus
Peas
Lentils
Chickpeas (garbanzo beans)
Foods that are rich in both folic acid and vitamin B12 include the following:
Eggs
Meat
Poultry
Milk
Shellfish
Fortified cereals
Taking folic acid by mouth is more effective than eating foods rich in folic acid. Vitamin B12 is not as well absorbed by mouth as per injection.
Living with vitamin B12 deficiency anemia
Depending on the cause of your vitamin B12 deficiency, you may need to take vitamin B12 supplements for the rest of your life. These may be pills or shots. This may seem difficult. But it will let you live a normal life without symptoms.
If your deficiency is due to a restrictive diet, you may want to work with a nutritionist. He or she can help ensure that you get enough vitamin B12 and other vitamins. Tell your healthcare provider about any symptoms and follow your treatment plan.
Key points about vitamin B12 deficiency anemia
With this condition, your body does not have enough healthy red blood cells, due to a lack (deficiency) of vitamin B
It is one of several types of megaloblastic anemia.
Without enough red blood cells, your tissues and organs don’t get enough oxygen. Without enough oxygen, your body can’t work as well.
Symptoms include weak muscles, numbness, trouble walking, nausea, weight loss, irritability, fatigue, and increased heart rate.
Treatment may include vitamin B12 supplements. It is also important to eat a well-balanced diet.
Next steps
Tips to help you get the most from a visit to your healthcare provider:
Know the reason for your visit and what you want to happen.
Before your visit, write down questions you want answered.
Bring someone with you to help you ask questions and remember what your provider tells you.
At the visit, write down the name of a new diagnosis, and any new medicines, treatments, or tests. Also write down any new instructions your provider gives you.
Know why a new medicine or treatment is prescribed, and how it will help you. Also know what the side effects are.
Ask if your condition can be treated in other ways.
Know why a test or procedure is recommended and what the results could mean.
Know what to expect if you do not take the medicine or have the test or procedure.
If you have a follow-up appointment, write down the date, time, and purpose for that visit.
Know how you can contact your provider if you have questions."
Bedwetting,"What is urinary incontinence (enuresis)?
Urinary incontinence (enuresis) is the medical term for bedwetting. Incontinence is accidental or intentional urination in children who are at an age where they should be able to have control of their bladders. Girls usually obtain bladder control before boys do. Incontinence may be diagnosed in girls older than age 5 and in boys who are older than age 6 who are still having urinary control problems. There are different types of bedwetting that may occur, including the following:
Diurnal enuresis (wetting during the day)
Nocturnal enuresis (wetting during the night)
Primary enuresis (occurs when the child has never fully mastered toilet training)
Secondary enuresis (occurs when the child did have a period of dryness, but then returned to having periods of incontinence)
What are some key facts about urinary incontinence (enuresis)?
According to the American Academy of Pediatrics (AAP), nocturnal enuresis affects 5 million children older than age 6 in the U.S.
Nocturnal enuresis occurs more frequently in boys than in girls.
Of the children with bedwetting, most have wetting at night.
Primary enuresis is the most common form of urinary incontinence among children.
What causes urinary incontinence?
There are many factors that may be involved, and many theories that are given for why children wet. The following is a list of some of the possible reasons for the problem:
Poor toilet training
Delay of the ability to hold urine (this may be a factor up to about age 5)
Small bladders
Poor sleep habits or the presence of a sleep disorder
A problem with the proper functioning of hormones that help to regulate urination
Most children who wet the bed have at least one parent or a close relative who also suffered from bedwetting as a child
Medication that affects sleep
How is urinary incontinence (enuresis) diagnosed?
Urinary incontinence (enuresis) is usually diagnosed based on a complete medical history and physical examination of your child. In addition to talking with you and the child, your child's doctor may perform the following to help rule out other causes for the wetting:
Urine tests (to make sure there is not an underlying infection, or condition such as diabetes)
Blood pressure measurement
Blood tests
What is the treatment for urinary incontinence (enuresis)?
Specific treatment for enuresis will be determined by your child's doctor based on:
Your child's age, overall health, and medical history
Extent of the condition
Your child's tolerance for specific medications, procedures, or therapies
Expectations for the course of the condition
Your opinion or preference
Prior to starting treatment, it is important to know that:
The child is not at fault and should not be punished. The child cannot control the wetting.
According to the AAP, enuresis usually goes away on its own in about 15 percent of affected children each year.
Treatment may include:
Positive reinforcement of the child (for example, the use of sticker charts for dry nights)
Use of night-time alarms to help tell the child when wetting is occurring
Medications, as prescribed by your child's doctor (to help control the wetting)
Bladder training to help increase the bladder size and the child's ability to know when he or she has to urinate. (This is done by having the child wait as long as possible during the day to urinate and let the bladder get full.)
Decrease fluids (AAP suggests this approach if the child believes it helps) and avoid caffeine at night
In addition, counseling of the child and family may help to determine any stress the child may be under."
Behcet’s syndrome,"What is Behcet’s Syndrome?
Also called Behcet’s disease, Behcet’s syndrome is an inflammatory disease caused by damage to and inflammation of the blood vessels. Rare in the United States, it is common in the Middle East and Asia, affecting mainly those in their 20s and 30s.
What is vasculitis?
There are many types of vasculitis, including Behcet’s disease, large vessel vasculitis syndromes (such as Takayasu vasculitis), medium vessel vasculitis syndromes and small vessel vasculitis syndromes.
Symptoms
Sores in the mouth
Other skin sores
Swelling of parts of the eye
Pain, Swelling, stiffness in joints
Diagnosis
Medical evaluation.
Treatment
There is no cure but symptoms can be controlled with medication, rest and exercise. "
Bile acid synthesis defect,"What is bile acid synthesis defect?
Bile acid synthesis defect prevents the body from making bile acid, which results in progressive liver disease. The defect is a deficiency of a particular enzyme (cholestasis with delta(4)-3-oxosteroid 5-beta-reductase) needed to make bile acid.
Symptoms
Progressive liver disease
Cholestasis
Jaundice
Liver fibrosis
Abnormal bile acid precursors in urine"
Biliary atresia,"What is Biliary Atresia?
Biliary atresia is a blockage in the tubes (ducts) that carry bile from the liver to the gallbladder. This congenital condition occurs when the bile ducts inside or outside the liver do not develop normally. It is not known why the biliary system fails to develop normally. In babies with biliary atresia, bile flow from the liver to the gallbladder is blocked. This can lead to liver damage and cirrhosis of the liver, which is deadly if not treated.
Symptoms
Newborns with this condition may appear normal at birth. However, jaundice develops by the second or third week of life. The infant may gain weight normally for the first month, but then will lose weight and become irritable, and have worsening jaundice. 
Other symptoms may include:
Dark urine
Enlarged spleen
Floating stools
Foul-smelling stools
Pale or clay-colored stools
Slow or no weight gain
Slow growth"
Birthmarks,"What are birthmarks?
Birthmarks are areas of discolored and/or raised skin that are apparent at birth or within a few weeks of birth. Birthmarks are made up of malformed pigment cells or blood vessels.
Although the cause of birthmarks is not known, most of them are benign (noncancerous) and do not require treatment. Babies with birthmarks should be examined and diagnosed by a health care provider.
What are the most common types of vascular birthmarks?
The following are the most common types of vascular birthmarks:
Macular stains or salmon patches. These are characterized by pink to red marks that may appear anywhere on the body. Angel kisses and stork bites are the most common type of vascular birthmark:
Angel's kisses. Marks located on the forehead, nose, upper lip, and eyelids that usually disappear with age.
Stork bites. Marks on the back of the neck that usually disappear with age.
Hemangioma. A common vascular birthmark. Hemangiomas become visible within the first few weeks or months of life and continue to grow rapidly for about 6 to 9 months. Then, they gradually lose this red color and also shrink. They are called strawberry patch hemangiomas. By age 5, 50% resolve and 90% resolve by age 9 without any treatment. Hemangiomas that grow into other organs or structures or become ulcerated should be evaluated by your health care provider.
Port-wine stain (also called nevus flammeus). A port-wine stain is a flat, pink, red, or purple mark that appears at birth, often on the face, arms, and legs, and continues to grow as the child grows. Port-wine stains do not go away and often need treatment if located on the eyelid or forehead. Port-wine stains involving the face may cause eye problems and be associated with other developmental disorders.
What are the most common types of pigmented birthmarks?
The following are the most common types of pigmented birthmarks:
Moles (also known as congenital nevi). These can be skin-colored, brown, or black, flat or raised and small or large. They can happen anywhere on the body. Moles can also happen in adulthood, but only moles that are present at birth are considered birthmarks. Other nevi that behave like congenital nevi can appear within the first 2 years of life. Congenital nevi can develop into cancer later in life, with larger nevi having a higher risk of becoming cancerous.
Cafe-au-lait spots. This is French for coffee with milk. These are usually oval-shaped and light brown or black. Typically these fade with age and are not a problem. However, many of them grouped together can be a sign of other health issues and should be examined by a health care provider. 
Mongolian spots. These are blue or blue-gray spots on the lower back or buttocks. They are most common in babies with darker skin, like African-American or Asian babies. They can be mistaken for bruises and they usually fade with age.  "
Bladder exstrophy,"What is Bladder Exstrophy?
An abnormality of formation of the bladder and the bony pelvis. The bladder does not form into its normal round shape but instead is flattened and exposed on the abdominal wall. The pelvic bones are also widely separated. The remainder of the lower urinary tract may also be flattened and exposed, with abnormal formation of the prostate and penis. This congenital birth defect is seen in one of 10,000 to 50,000 live births. In a family with a child with exstrophy, the likelihood of a second child being born with exstrophy is one in 100. The risk of having a child with exstrophy is one in 70, if the parents have exstrophy. Major genetic studies are currently underway at Johns Hopkins involving the exstrophy-epispadias complex.  
Diagnosis
Diagnosis can be made on careful repeated ultrasounds done before delivery, but usually the diagnosis is not made until the baby is born. The finding of the exposed bladder is typical.  
Treatment
Advances in surgery in the last 15 years have allowed reconstruction of the penis and bladder so that a more ""normal"" and functional lifestyle can be maintained by the patient and family. Current state-of-the-art treatment for exstrophy involves reconstruction of the various aspects of the deformity (i.e. closing the bladder, repair of the penis, and prevention of urine leakage. This usually involves separate operations at various times in the life of the child to obtain the best results.
Initial Closure: This is usually done soon after the baby is born. At this first operation, the pelvic bones are reformed into their normal ring shape (by a Pediatric Orthopedic surgeon), the bladder, abdominal wall, and posterior urethra are closed and the belly button is reconstructed. This procedure takes between 4-6 hours. Following surgery, the baby is placed with the lower legs in traction to prevent separating the pelvic bones. Babies are observed carefully and may be in the Intensive Care Unit to be monitored for the first day or two. The baby usually stays in the hospital for 3-4 weeks of healing. Antibiotics are given following the operation to prevent infection. The tube in the bladder is removed four weeks following surgery. The size of the bladder gradually increases over time. In very special circumstances with an excellent bladder plate and good sized penis, bladder exstrophy closure and epispadias repair can be combined. However, this is only for very experienced exstrophy surgeons.
Epispadias repair: This repair occurs around 6-12 months of age. Time of surgery and the extent of the surgery is dependent on the size of the bladder and the deformity of the penis. At this stage, the urethra on top of the flattened penis is closed and transferred to below the corporal bodies as in the normal penis.
Continence Procedure: At this time the control of urine leakage is repaired and then further enlargement of the bladder is preformed if necessary. The timing of this procedure depends totally on the capacity of the bladder and the child's emotional and developmental status. The child must ""want to be dry"" and able to participate in a voiding program.
Special Voiding Improvement Program for the Exstrophy - Epispadias Patient
Children with bladder exstrophy face a combination of medical and emotional challenges as they work with their urology team. Developing a continence management program is an ongoing process that is often stressful for children and their families. The voiding improvement program provides hands-on one-on-one assistance to the child and family before and after bladder neck repair.
The clinic is staffed by a specially trained, multidisciplinary team including a pediatric urologist, pediatric nurse practitioner, pediatric behavioral psychologist, and pediatric clinical nurse.
The Voiding Improvement Team also assists the pediatric urologist in the evaluation of readiness for bladder neck reconstruction to help the child and family prepare for the post-surgical work that will allow for favorable continence outcome.
After bladder neck reconstruction surgery we work with children and families using both behavior modification and muscle retraining procedures to teach the child, family, and the child's bladder musculature to function at their maximum potential for long-term continence.
After bladder neck surgery, frequent daily phone consultations occur until the child is voiding well and tube free.
Visit usually last one hour and may include the following treatment components:
bladder ultrasound
urine culture
medication management
biofeedback for bladder muscle retraining
establishment of a voiding urine
assessment of barrier to adherence
nutrition education
behavior therapy
relapse prevention recommendations
Progress is evaluated at each visit and communicated to the pediatric urologist.
Follow-up
Experience at the Johns Hopkins Hospital indicate that 72-75% of patients are free of urine leakage following reconstruction by the above-mentioned stages. The deformity of the penis was corrected to the satisfaction of the patient and the family in most instances. This, however, requires dedicated and intensive treatment and long-term follow up into adolescence and adulthood by the exstrophy team.
Reference:
John P. Gearhart, Robert D. Jeffs: Exstrophy of the Bladder, Epispadias and other Bladder Anomalies in Campbell's Urology, Sixth Edition. Eds. Walsh PC, Retik AB, Stamey TA, Darracott Vaughan E, Jr., WB Saunders Co. Vol. 2 1772-1821. 
John P. Gearhart: The bladder exstrophy-epispadias complex. In pediatric Urology. Es Gearhart JP, Rink RR, and Mouriquand P. Saunders, Philadelphia. Chapter 32, p 511-546."
