,symptom,disease,treatment_drug,emergency_condition,treatment_drugs
11,"['lymph nodes around and between the lungs', 'liver', 'bones', 'adrenal glands', 'brain.']",adenocarcinoma-of-the-lung,,"[""Don't smoke. If you already smoke, talk to your doctor about getting the help you need to quit."", 'Avoid secondhand smoke. Choose smoke-free restaurants and hotels. Ask guests to smoke outdoors, especially if there are children in your home.', 'Reduce exposure to radon. Have your home checked for radon gas. A radon level above 4 picocuries/liter is unsafe. If you have a private well, have your drinking water checked, too. Kits to test for radon are widely available.', ""Reduce exposure to asbestos. Because there is no safe level of asbestos exposure, any exposure is too much. If you have an older home, check to see if any insulation or other asbestos-containing material is exposed or deteriorating. The asbestos in these areas must be professionally removed or sealed up. If the removal isn't done properly, you may be exposed to more asbestos than you would have been if it has been left alone. People who work with asbestos-containing materials should use approved measures to limit their exposure and to prevent bringing asbestos dust home on their clothing."", 'The U.S. Preventive Services Task Force recommends annual screening for lung cancer with low-dose computed tomography in adults ages 55 to 80 years:', 'Have a 30 pack-year smoking history (pack years is calculated by multiplying the number of cigarettes smoked per day times the number of years you smoked), AND', 'Are currently smoke or have quit within the past 15 years, AND', 'Are healthy enough to undergo lung cancer surgery.']","['Sputum sample — Coughed-up mucus is checked for cancer cells.', 'Biopsy — A sample of abnormal lung tissue is removed and examined under a microscope in a laboratory. The tissue is often obtained during a bronchoscopy. However, surgery may be necessary to expose the suspicious area.', 'Bronchoscopy — During this procedure, a tube-like instrument is passed down the throat and into the lungs. A camera on the end of the tube allows doctors to look for cancer and to remove a small piece of tissue for a biopsy.', 'Mediastinoscopy — In this procedure, a tube-like instrument is used to biopsy lymph nodes or masses between the lungs. (This area is called the mediastinum.) A biopsy obtained this way can diagnose the type of lung cancer and determine whether the cancer has spread to lymph nodes.', 'Fine-needle aspiration — With a CT scan, a suspicious area can be identified. A tiny needle is then inserted into that part of the lung. The needle removes a bit of tissue for examination in a laboratory. The type of cancer can then be diagnosed.', 'Thoracentesis — If there is fluid build-up in the chest, it can be drained with a sterile needle. The fluid is then checked for cancer cells.', 'VATS (video-assisted thoracoscopy) — In this procedure, a surgeon inserts a flexible tube with a video camera on the end into the chest through an incision. He or she can then look for cancer in the space between the lungs and the chest wall. Abnormal lung tissue can also be removed.', 'CT, PET, and bone scans — These imaging tests can detect lung cancer that has spread to the brain, bones, or other parts of the body.', 'Thoracotomy. On occasion, a larger incision in the chest may be required to get tissue for examination in the laboratory.']"
12,"['help control blood pressure', 'balance water and salt in the body', ""help manage the body's use of protein, fat, and carbohydrates"", 'contribute to a person having male or female characteristics.']",adrenocortical-carcinoma,,"['hair growth on the face and body', 'acne', 'balding', 'a deepening of the voice', 'menstrual changes.']","['high blood pressure', 'muscle weakness or cramps', 'frequent urination', 'feeling thirsty', ""fluid build-up in the body's tissues""]"
13,"['Cells become less able to divide ', 'The telomeres—the ends of the chromosomes inside every cell—gradually get shorter until, finally, they get so short that the cell dies ', 'Waste products accumulate  ', 'Connective tissue between the cells becomes stiffer ', 'The maximum functional capacity of many organs decreases']",aging,,"['The movement of food through the digestive system becomes slower ', 'The stomach, liver, pancreas, and small intestine make smaller amounts of digestive juices']","['Bones become thinner and less strong ', 'Joints become stiffer and less flexible ', 'The cartilage and bone in joints starts to weaken ', 'Muscle tissue becomes less bulky and less strong']"
14,"['Tremors (shakes) — These usually begin within 5 to 10 hours after the last alcohol drink and typically peak at 24 to 48 hours. Along with tremors (trembling), you can have a rapid pulse, an increase in blood pressure, rapid breathing, sweating, nausea and vomiting, anxiety or a hyper-alert state, irritability, nightmares or vivid dreams, and insomnia.', 'Alcohol hallucinosis — This symptom usually begins within 12 to 24 hours after your last drink, and may last as long as 2 days once it begins. If this happens, you hallucinate (see or feel things that are not real). It is common for people who are withdrawing from alcohol to see multiple small, similar, moving objects. Sometimes the vision is perceived to be crawling insects or falling coins. It is possible for an alcohol withdrawal hallucination to be a very detailed and imaginative vision.', 'Alcohol withdrawal seizures — Seizures may occur 6 to 48 hours after the last drink, and it is common for several seizures to occur over several hours. The risk peaks at 24 hours.', 'Delirium tremens — Delirium tremens commonly begins two to three days after the last alcohol drink, but it may be delayed more than a week. Its peak intensity is usually four to five days after the last drink. This condition causes dangerous shifts in your breathing, your circulation and your temperature control. It can cause your heart to race dangerously or can cause your blood pressure to increase dramatically, and it can cause dangerous dehydration. Delirium tremens also can temporarily reduce the amount of blood flow to your brain. Symptoms can include confusion, disorientation, stupor or loss of consciousness, nervous or angry behavior, irrational beliefs, soaking sweats, sleep disturbances and hallucinations.']",alcohol-withdrawal,,,
15,"['Pollen — Allergies that come and go with the seasons are usually triggered by plant pollen.', 'Foods — Especially peanuts and tree nuts.', 'Pet dander — Especially from cats and other furry pets.', 'Drugs — While any drug can cause an allergic reaction, penicillin and sulfa antibiotics are among the most common culprits.', 'Mold spores — A hidden source of mold spores is the damp soil of houseplants.', 'Insect stings — Especially from bees, yellow jackets, paper wasps, hornets, or fire ants.']",allergy,,"['Xyzal', 'hydroxyzine', 'loratadine', 'levocetirizine', 'Vistaril']","['Stay indoors as much as possible during months when you know that your hay fever symptoms will flare. Remember that pollen counts tend to be highest before 10 a.m. and after sunset, so schedule any outdoor activities for low-pollen hours. Early afternoon is usually best.', 'Keep windows closed, especially bedroom windows. Run an air conditioner on hot days.', 'When traveling in a car, keep the external vents closed and the air conditioning on. Some newer vehicles may be equipped with a high-efficiency air filtration system.', 'Minimize activities with heavy exposure to pollens, such as lawn mowing and leaf blowing.', 'Take a shower or wash your hair before going to bed at night to remove any pollen that accumulated during the day.', 'Dry clothes inside, either in a dryer or on a line. Clothing dried on an outside line can accumulate pollen.']"
16,"['spironolactone', 'Azulfidine', 'Azulfidine EN-tabs', 'Olumiant', 'Aldactone']",alopecia-areata,,,
17,"['Headache that is not relieved by over-the-counter pain medicine', 'Nausea or vomiting', 'Dizziness or lightheadedness', 'Weakness or fatigue', 'Difficulty sleeping', 'Loss of appetite']",altitude-sickness,,,"['Do not increase your altitude by more than 1,000 feet per night.', 'Each time you increase your altitude by 3,000 feet, spend a second night at this elevation before going farther.', 'Limit your physical exertion to reasonable levels during your first few days of ascent to altitude.', 'Drink plenty of fluid during your altitude exposure.']"
18,"['Use our A-Z list of drugs to find medications by brand or generic name.', 'Find treatment options by disease or condition.', 'Identify unknown pills by using our pill identifier tool.', 'Check for drug interactions to identify potentially harmful and unsafe combinations of prescription medications.', 'Stay up-to-date with the latest drug news and FDA updates on prescription medications.', 'Start over on our home page, view our complete sitemap, or use the search box above.']",alzheimer's-disease,,,
19,"['Pregnancy (the most common cause)', 'Breast feeding', 'Menopause, the normal age-related end of menstruation', 'Emotional or physical stress', 'Rapid weight loss', 'Frequent strenuous exercise', 'Hormonal birth control methods, including birth control pills, the patch and long acting progesterone.', 'Polycystic ovary syndrome. This condition is associated with a tendency to be overweight, excessive body and facial hair and hormonal irregularities.', 'Premature ovarian failure (menopause before age 40)', 'Hysterectomy (surgical removal of the uterus)', 'Abnormal production of certain hormones, such as testosterone, thyroid and cortisone.', 'Tumors of the pituitary gland', 'Chemotherapy']",amenorrhea,,"['Acne', 'Increased body hair', 'Extreme sensitivity to cold temperatures', 'Dry skin', 'Constipation', 'Hair loss', 'Unusual breast secretions']","['The date of your last menstrual period', 'Whether you are sexually active', 'Your birth control methods', 'Your pregnancy history', 'Your eating habits', 'Rapid weight changes', 'Obesity or extreme underweight', 'Your typical monthly menstrual patterns', 'The age when your mother entered menopause. (Many mothers and daughters enter menopause at about the same age.)', 'The amount of stress in your life, and how you deal with it', 'Your exercise regimen', 'The types of medications you are taking']"
20,,amniocentesis,,,
21,"['Brain - Dementia ', 'Heart - Heart failure, an irregular or unstable heart rhythm, enlarged heart ', 'Kidneys - Kidney failure, protein in the urine ', 'Nervous system - Numbness, tingling or weakness from nerve disease ', 'Digestive system - Intestinal bleeding, intestinal obstruction, poor nutrient absorption ', 'Blood - Low blood counts, easy bruising or bleeding ', 'Pancreas - Diabetes ', 'Musculoskeletal system - Joint pain or swelling, weakness ', 'Skin - Lumps or purple discoloration ']",amyloidosis,,,
22,"['Infection with the human immunodeficiency virus (HIV). This is the virus that causes AIDS.', 'Prior history of cervical, vaginal or vulvar cancer', 'Multiple sexual partners', 'Anal intercourse', 'Frequent anal redness, swelling, and soreness', 'Abnormal anal openings (fistulas)', 'Weakened immune system', 'Prolonged use of steroid medicines, especially for patients who have had an organ transplant.', 'Smoking']",anal-cancer,,"['Practice safe sex. The best way to lower your risk of anal cancer is to avoid sexual behaviors that might expose you to HPV and HIV infections.', 'Use condoms to protect against sexually transmitted diseases.', 'Limit your number of sexual partners.', 'HPV vaccine. A new vaccine helps guard against some forms of HPV linked to cervical cancer. Doctors hope that this vaccine could also protect against anal and other cancers.']","['Computed tomography (CT ) scan of the pelvis, abdomen and chest', 'Ultrasound of the anus or rectum', 'Positron emission tomography (PET) scan']"
23,"['Anal fissure - An anal fissure, also called an anorectal fissure, is a linear split or tear in the lining (""anoderm"") of the lower anal canal. Most anal fissures happen when a large, hard stool overstretches the anal opening and tears the delicate anoderm. Less often, anal fissures develop because of prolonged diarrhea, inflammatory bowel disease or sexually transmitted diseases involving the anorectal area. Acute (short-term) anal fissures are usually superficial and shallow, but chronic (long-term) anal fissures may extend deeper through the anoderm to expose the surface of underlying muscle.  ', 'Anal abscess - An anal abscess is a swollen, painful collection of pus near the anus. Most anal abscesses are not related to other health problems and arise spontaneously, for reasons that are unclear. They originate in a tiny anal gland, which enlarges to create a site of infection under the skin. In the United States, more than half of all anal abscesses occur in young adults between the ages of 20 and 40, and men are affected more often than women. Most anal abscesses are located near the opening of the anus but rarely can occur deeper or higher in the anal canal, closer to the lower colon or pelvic organs. ', 'Anal fistula - An anal fistula is an abnormal narrow tunnel-like passageway, which is the remnant of an old anal abscess after it has drained. It connects the mid portion of the anal canal (at the anal gland) to the surface of the skin. After an anal abscess has drained (either spontaneously or when lanced by a physician), an anal fistula will develop at least half of the time. Sometimes the opening of the fistula at the skin surface constantly discharges pus or bloody fluid. In other cases, the opening of the fistula closes temporarily, causing the old anal abscess to flare up again as a painful pocket of pus.  ']",anal-disorders,,"['Mild pain around the anus, centered in an area where an old anal abscess has either drained spontaneously, or has been opened surgically by a doctor  ', 'Persistent drainage of blood, pus or foul-smelling mucus from the anal area. ', 'Symptoms of a recurrent anal abscess (see above), which may develop if the external opening of the fistula becomes clogged and the old abscess reactivates. ']","['A firm, tender mass or swelling in or around the anal area, which may become large  ', 'Occasionally fever, chills and a generally sick feeling.']"
24,"['Foods — Especially eggs, seafood, tree nuts, grains, milk and peanuts', 'Drugs — Especially an antibiotic from the penicillin or cephalosporin group, a ""sulfa"" antibiotic, or ibuprofen and other non-steroidal anti-inflammatory pain medicines (NSAIDs).', 'Insect stings — From bees, yellow jackets, paper wasps, hornets or fire ants', 'Injected anesthetics — Procaine, lidocaine', 'Dyes — Used in diagnostic X-rays and scans', 'Industrial chemicals — Latex and rubber products used by health care workers', 'Allergy shots (immunotherapy)']",anaphylaxis,,,
25,"['iron deficiency caused by inadequate intake, blood loss, or poor absorption from the intestine', 'vitamin B12 deficiency from either a strict vegetarian diet or an inability to absorb vitamin B12 (known as pernicious anemia).', 'some infections, such as parvovirus infection', 'chronic diseases, especially inflammatory diseases such as rheumatoid arthritis', 'a side effect of some medications, especially chemotherapy', 'a disease of the bone marrow, such as aplastic anemia.']",anemia,,"['pale skin and fingernails', 'rapid pulse', 'heart murmur', 'enlarged spleen and liver.']","['pale skin', 'fatigue', 'weakness', 'dizziness', 'lightheadedness', 'breathlessness.']"
26,"['Stable angina — Chest pain follows a specific pattern, occurring when someone engages in physical activity or experiences strong emotion. Exertion in cold weather or after a large meal is more likely to bring on angina. The symptoms should quickly subside once the person rests and relaxes. ', 'Unstable angina — Symptoms are less predictable. This chest pain occurs at rest, during sleep or very often with minimal exertion. The discomfort may last and be intense. You should seek medical care immediately if this occurs, even if the chest pain has resolved.']",angina,,,"['Lifestyle changes — Changes include weight loss for obese patients, therapy to quit smoking, medications to lower high cholesterol, a program of regular exercise to lower high blood pressure, and stress reduction techniques.', 'Nitrates, including nitroglycerin — Nitrates are medications that widen blood vessels (vasodilators). They increase blood flow in the coronary arteries, and make it easier for the heart to pump blood to the rest of the body.', 'Statins, such as atorvastatin (Lipitor), rosuvastatin (Crestor) and simvastatin (Zocor, generic versions) - - These medications lower cholesterol, slow the rate of fatty buildup in the coronary arteries and decrease the risk of heart attack.', ""Beta-blockers, such as atenolol (Tenormin) and metoprolol (Lopressor, Toprol-XL) — These medications decrease the heart's workload by slowing the heart rate and reducing the force of the heart's contractions, especially during exercise."", 'Aspirin — Because aspirin helps to prevent blood clots from forming inside narrowed coronary arteries, it can reduce the risk of heart attacks in people who already have coronary artery disease.', 'Ranolazine — Ranolazine is most often prescribed when exercise is still limited by angina symptoms. The medication helps allow patients to do more physically before experiencing chest discomfort.']"
27,"['Bare metal stents', 'Drug coated stents']",angioplasty,,,
28,"[""The tibia — This is the larger of the two bones in the lower leg. The tibia's lower end flares out, forming a hard, bony knob, called the medial malleolus, which you can feel at the inside of your ankle."", 'The fibula — This is the thinner of the two bones of the lower leg. Its lower end forms a hard, bony knob, called the lateral malleolus, which you can feel at the outside of your ankle.', 'The talus — This is a wedge-shaped bone that is located deep inside the ankle, braced between the heel bone and the ends of the tibia and fibula. The talus supports the lower ends of the tibia and fibula, and it forms a solid base for the normal range of ankle movements.']",ankle-fracture,,,"['You have injured your ankle and cannot walk on it', 'Your injured ankle is very painful or tender', 'Your injured ankle is obviously swollen, black and blue, or deformed']"
29,"['Grade I — The ankle is painful, but there is little ligament damage and little loss of function.']",ankle-sprain,,"['Swelling or deformity', 'Inability to feel someone touching the skin', 'Circulation', 'Discoloration', 'Instability', 'Areas of tenderness', 'Limitation in range of motion', 'Inability to bear weight']","['Ankle pain, tenderness and swelling', 'Ankle bruising or discoloration', 'Trouble moving the ankle', 'Inability to put full weight on the ankle']"
30,"['Fatigue  ', 'Fever  ', 'Loss of appetite  ', 'Weight loss']",ankylosing-spondylitis,,,"['Back pain and stiffness that gets worse gradually over weeks or months', 'Early morning stiffness that improves when you take a warm shower or do light exercise, especially if this symptom lasts for weeks or months']"
31,"['Genetic. Anorexia nervosa tends to cluster among biological relatives. Sisters of patients with anorexia nervosa have a 6% risk of having the illness themselves. More distant relations have a risk up to 4%.', 'A variant of depression or anxiety. Anorexia, depression, anxiety and obsessive-compulsive disorder tend to run in families, and many people with anorexia nervosa have symptoms of depression or obsessive-compulsive disorder.', 'Associated with personality traits. People with anorexia nervosa are often given to compulsiveness and perfectionism. The eating may be an extension of, or a strong expression of, those traits.', 'Triggered by fears about becoming an adult. One fear may be related to new sexual feelings and activities that begin in adolescence. Sometimes the illness is triggered by a life event linked to normal development, such as moving away from home.', 'A response to environmental pressures. Cultural influences, including images from television and film and pressure from peers, leave the impression that thin is best. In some professions (for example, ballet dancing or modeling), thinness is highly prized, putting participants at risk. But culture is only part of the story. The illness has been known to have occurred hundreds of years ago, even at times when social pressures and conceptions of ideal body image were quite different.', 'A way to cope with difficult family relationships. Family difficulties can provoke the illness, but their importance may have been overemphasized in the past. Sometimes family problems develop after the disease has started, because a person with anorexia nervosa may test the patience of those she lives with. People with the disorder describe a feeling of power and control over others through their dieting.']",anorexia-nervosa,,"['olanzapine', 'cyproheptadine']","['Abnormal levels of chemicals in the blood serum', 'Changes in kidney and liver function', 'Changes in thyroid hormone, estrogen, and (in males) testosterone levels', 'Changes in the electrocardiogram (ECG)', 'Changes in bone mass']"
32,,anoscopy,,,
33,"['Watery diarrhea', 'Crampy abdominal pain', 'Abdominal tenderness', 'Fever', 'Pus or blood in your diarrhea (if your illness progresses to C. difficile colitis)']",antibiotic-associated-diarrhea,,"['Drink plenty of fluids to replace body water that has been lost to diarrhea. You can try soft drinks, sports drinks, broth or over-the-counter oral rehydration fluids.', 'Temporarily avoid milk products and foods that contain wheat flour (bread, macaroni, pizza), since your digestive tract may be unusually sensitive to them for a few days. Also temporarily avoid high-fiber foods, such as fruits, corn and bran.', ""Do not take antidiarrhea medicines without first checking with your doctor. These medicines may interfere with your intestine's ability to pass harmful bacteria and toxins out of your body through the stool.""]","['Wash your hands frequently, especially after using the toilet, changing diapers or cleaning bedpans.', 'Use detergent and when possible chlorine bleach to wash clothing that has been soiled with stool.', 'Wipe contaminated bathroom surfaces with a chlorine-based household cleaner.', 'Use soap and water to wash your hands after visiting someone in the hospital with C. difficile. Alcohol-based hand cleansers do NOT kill these bacteria.']"
34,['Nervous system. APS can cause:'],antiphospholipid-antibody-syndrome,,"['Chest pain', 'Shortness of breath', 'Rapid breathing', 'Gastrointestinal. APS can affect the blood supply to the intestines, causing:', 'Abdominal pain', 'Fever', 'Blood in the stool']",['Lung. Blood clots in the lung can cause:']
35,"['Influences from the environment. A chaotic family life contributes to the development of this personality disorder, especially where there has been little supervision from parents or other adult role models. The disorder also may be more common where the community is not supportive or provides little reward for positive behavior. In some situations, there may even be reinforcement for sociopathic behavior.', 'Genetic (inherited) or biological factors. Antisocial personality traits do appear to be highly heritable. Researchers have also found certain physiological responses that may occur more frequently in people with antisocial personality disorder. For example, they have a comparatively flat response to stress. They seem to get less anxious than the average person. They seem to have a harder time maintaining daytime arousal. They also have a weak ""startle reflex,"" the involuntary response to loud noises. This relative insensitivity may affect their ability to learn from reward and punishment.', 'Brain anatomy. The frontal lobe, the area of the brain that governs judgment and planning, also appears to be different in people with antisocial personality disorder. Some researchers have found changes in the volume of brain structures that mediate violent behavior. People with this kind of brain function may thus have more difficulty restraining their impulses, which may account for the tendency toward more aggressive behavior. Neurobiologists cannot say with certainty that these variations in brain structure are a cause of antisocial personality. The variations could easily be the result of life experiences that are more common in people with this personality disorder rather than a cause.']",antisocial-personality-disorder,,,
36,"['Red blood cells, which carry oxygen', 'White blood cells, which fight infection', 'Platelets, which help blood to clot']",aplastic-anemia,,"['Promacta', 'filgrastim', 'Leukine', 'Atgam', 'eltrombopag']","['Do you live or work in an area where you are exposed to toxic chemicals or radiation?', 'What medications do you take?', 'Have you ever had hepatitis, mononucleosis or another viral infection?', 'Is there a family history of aplastic anemia or other blood disorders?']"
37,"['Abdominal pain, usually starting just above the belly button and then moving to the right lower side of the abdomen']",appendicitis,,,"['piperacillin/tazobactam', 'Zosyn']"
38,"['Pain, swelling, tenderness and bruising in your upper arm', 'Limited motion in your upper arm and shoulder', 'Deformity of your injured arm', 'Shortening of the arm compared to your uninjured arm (if pieces of fractured bone are separated far apart)', 'Parts of fractured bone visible through broken skin (an open fracture)']",arm-fracture,,"['Weight-bearing exercise', 'Calcium and vitamin D supplements', 'Preventive or therapeutic medications']","['Pain, swelling, tenderness, and limited motion near the area of broken bone.', 'Bruising', 'Deformity of the forearm', 'Loss of normal arm motion', 'Numbness in the wrist or hand', 'Parts of the fractured bone (or bones) may be visible through broken skin (an open fracture).']"
39,,arthritis-associated-with-inflammatory-bowel-disease,,,
40,"['Has fewer complications', 'Requires a shorter hospital stay (or no stay)', 'Is less expensive', 'Allows a quicker recovery']",arthroscopic-surgery,,"['Accidental damage to cartilage or ligaments inside the joint', 'Excessive bleeding inside the joint', 'Accidental damage to nerves or blood vessels near the joint', 'Inflammation and formation of blood clots inside veins, most often in the leg', 'Joint infection', 'Breakage of a surgical instrument inside the joint', 'Allergic or other reaction to an anesthetic']","['To remove inflamed joint lining (synovium)', 'To reattach a bone fragment that has broken off the end of a bone and is in a joint', 'To transplant cartilage (usually limited to knees with limited cartilage injury)', 'To drain fluid from an infected joint', 'To look at the joint directly', 'To take a sample of joint tissue when the cause of knee symptoms is not clear']"
41,"['Animal dander and saliva ', 'Pollens ', 'Molds ', 'Dust mites ', 'Cockroaches ', 'Some medications  ', 'Certain foods  ']",asthma,,"['Any symptoms you have ', 'How severe they are ', 'When and where they occur ', 'How frequently they occur ', 'What triggers and relieves them ']","['Extreme shortness of breath ', 'Chest tightness ', 'A rapid pulse ', 'Sweating ', 'Flared nostrils and pursed lips ', 'A need to sit upright ', 'A bluish discoloration of the lips and fingernails ']"
42,,astigmatism,,,
43,"['The kidneys, which make urine ', 'The ureters – thin tubes connecting the kidneys to the bladder ', 'The bladder, where urine can be stored ', 'The urethra – the final pathway to move urine from the bladder to outside the body. ']",asymptomatic-bacteriuria,,"['Begin urinating more often than normal ', 'Develop an intense need to urinate ', 'Have pain during urination ', 'Develop pelvic pain, back pain, fevers or chills ', 'Your urine has blood in it, becomes discolored, cloudy or foul smelling.']","['Pregnant women ', 'People about to undergo surgery in any part of the urinary tract ', 'Men about to undergo prostate surgery ']"
44,"['Coronary artery disease — In this chronic (long-lasting) disease, atherosclerosis narrows the coronary arteries, the arteries that supply blood to the heart muscle. This can lead to the chest pain called angina. It also increases the risk of a heart attack, which occurs when a coronary artery is blocked completely.', 'Stroke — A blood clot (thrombus) may form inside a brain artery that has been narrowed by atherosclerosis. Once this thrombus forms, it cuts off the blood supply to part of the brain, causing a thrombotic stroke. Currently, about 75% of strokes in industrialized countries are thrombotic strokes.', 'Abdominal angina and bowel infarction — When atherosclerosis narrows arteries that supply blood to the intestines, it causes a form of abdominal pain called abdominal angina. Complete, sudden blockage of intestinal blood supply can cause a bowel infarction. A bowel infarction is similar to a heart attack, but it involves the intestines rather than the heart.', 'Atherosclerosis of the extremities — Atherosclerosis can narrow the major arteries that supply blood to the legs, especially the femoral and popliteal arteries. These two arteries are affected in 80% to 90% of people with this problem. The reduced blood flow to the legs may result in a crampy leg pain during exercise called intermittent claudication. If blood flow is compromised severely, parts of the leg may become pale or cyanotic (turn blue), feel cold to the touch and eventually develop gangrene.', 'Other conditions — Atherosclerosis may be a factor in the development of an aortic aneurysm or renal artery stenosis (narrowing of the kidney arteries).']",atherosclerosis,,"['Avoid cigarette smoking. If you smoke, it is essential that you quit.', 'Maintain a healthy weight. Obesity, especially a concentration of body fat around the waist, has been linked to unhealthy levels of HDL cholesterol and triglycerides.', 'Eat a healthy diet that is rich in vegetables and fruits. Avoid saturated and trans fats. Use monounsaturated (olive) and polyunsaturated (sunflower, safflower, peanut, canola) oils for cooking. Dietary protein should come primarily from fish and plant sources (soy, beans, legumes).', 'Exercise regularly.', 'Control high blood pressure. You may have to take medication to do this. If you have never been diagnosed with high blood pressure, you should have it checked every two years.', 'If you have diabetes, you need to work even harder on controlling weight, exercising more, lowering LDL cholesterol and triglyceride levels, and keeping blood pressure less than 140/90.', 'If you do not have diabetes, you should have a fasting blood sugar test every few years if you have risk factors for diabetes (being overweight, having high blood pressure or high cholesterol) starting at age 45.', 'Work with your doctor to maintain proper cholesterol levels. If you have never been diagnosed with cholesterol problems, you should have your cholesterol checked every five years starting at age 20.']","['Weak pulses', 'Cool skin that is pale or blue in the lower legs and feet', 'Bruits (the rough sound of turbulent blood flow through narrowed arteries) heard with a stethoscope in the neck, abdomen and groin.', 'An ABI of 0.9 or lower']"
