,information,drug_name,avoid_if,side_effects,usual_dose
10,"['Bunavail buccal films contains a combination of buprenorphine and naloxone. Buprenorphine is an opioid medication, sometimes called a narcotic. Naloxone blocks the effects of opioid medication, including pain relief or feelings of well-being that can lead to opioid abuse.']",Bunavail,"['any problems with your teeth or gums;', 'weak or shallow breathing, breathing that stops during sleep;', 'a light-headed feeling, like you might pass out;', 'confusion, loss of coordination, extreme weakness;', 'blurred vision, slurred speech;', 'liver problems - upper stomach pain, loss of appetite, dark urine, clay-colored stools, jaundice (yellowing of the skin or eyes);', 'high levels of serotonin in the body - agitation, hallucinations, fever, sweating, shivering, fast heart rate, muscle stiffness, twitching, loss of coordination, nausea, vomiting, diarrhea;', 'low cortisol levels - nausea, vomiting, loss of appetite, dizziness, worsening tiredness or weakness; or', 'opioid withdrawal symptoms - shivering, goose bumps, increased sweating, feeling hot or cold, runny nose, watery eyes, diarrhea, muscle pain.']","['dizziness, drowsiness, blurred vision, feeling drunk, trouble concentrating;', 'withdrawal symptoms;', 'tongue pain, redness or numbness inside your mouth;', 'nausea, vomiting, constipation;', 'headache, back pain;', 'fast or pounding heartbeats, increased sweating; or', 'sleep problems (insomnia).']",['Do not drink alcohol. Dangerous side effects or death could occur.']
11,"['Buprenorphine is an opioid medication. Buprenorphine sublingual tablets (given under the tongue) are a prescription medicine used to treat opioid addiction (either prescription or illegal drugs), as part of a complete treatment program that also includes counseling and behavioral therapy.']",Buprenorphine,"['methadone treatment;', 'breathing problems, sleep apnea;', 'abnormal curvature of the spine that affects breathing;', 'liver disease (especially hepatitis B or C);', 'kidney disease;', 'enlarged prostate, urination problems;', 'a head injury or brain tumor;', 'alcoholism, hallucinations, mental illness; or', 'problems with your stomach, gallbladder, adrenal gland, or thyroid.']","['opioid withdrawal symptoms - shivering, goose bumps, increased sweating, feeling hot or cold, runny nose, watery eyes, diarrhea, muscle pain;', 'noisy breathing, sighing, shallow breathing, breathing that stops during sleep;', 'slow heartbeat or weak pulse;', 'a light-headed feeling, like you might pass out;', 'chest pain, trouble breathing;', 'low cortisol levels - nausea, vomiting, loss of appetite, dizziness, worsening tiredness or weakness; or', 'liver problems - nausea, upper stomach pain, itching, loss of appetite, dark urine, clay-colored stools, jaundice (yellowing of the skin or eyes).']","['Do not keep leftover opioid medication. Just one dose can cause death in someone using this medicine accidentally or improperly. Ask your pharmacist where to locate a drug take-back disposal program. If there is no take-back program, flush the unused medicine down the toilet.']"
12,['Cephalexin is a cephalosporin (SEF a low spor in) antibiotic. It works by fighting bacteria in your body.'],Cephalexin,"['an allergy to any drug (especially penicillin);', 'liver or kidney disease; or', 'intestinal problems, such as colitis.']","['severe stomach pain, diarrhea that is watery or bloody (even if it occurs months after your last dose);', 'unusual tiredness, feeling light-headed or short of breath;', 'easy bruising, unusual bleeding, purple or red spots under your skin;', 'a seizure;', 'pale skin, cold hands and feet;', 'yellowed skin, dark colored urine;', 'fever, weakness; or', 'pain in your side or lower back, painful urination.']","['This list is not complete. Other drugs may interact with cephalexin, including prescription and over-the-counter medicines, vitamins, and herbal products. Not all possible drug interactions are listed here.']"
13,"['Ciprofloxacin is a fluoroquinolone (flor-o-KWIN-o-lone) antibiotic, it is used to treat different types of bacterial infections. It is also used to treat people who have been exposed to anthrax or certain types of plague. Ciprofloxacin extended-release is only approved for use in adults.']",Ciprofloxacin,"['arthritis or problems with your tendons, bones or joints (especially in children);', 'diabetes, low blood sugar;', 'nerve problems;', 'an aneurysm or blood circulation problems;', 'heart problems, or a heart attack;', 'muscle weakness, myasthenia gravis;', 'liver or kidney disease;', 'a seizure, head injury, or brain tumor;', 'trouble swallowing pills;', 'long QT syndrome (in you or a family member); or', 'low levels of potassium in your blood (hypokalemia).']","['low blood sugar - headache, hunger, irritability, dizziness, nausea, fast heart rate, or feeling shaky;', 'nerve damage symptoms - numbness, tingling, burning pain in your hands, arms, legs, or feet:', 'serious mood or behavior changes - nervousness, confusion, agitation, paranoia, hallucinations, memory problems, trouble concentrating, thoughts of suicide; or', 'signs of tendon rupture - sudden pain, swelling, bruising, tenderness, stiffness, movement problems, or a snapping or popping sound in any of your joints (rest the joint until you receive medical care or instructions).']","['Do not take ciprofloxacin with dairy products such as milk or yogurt, or with calcium-fortified juice. You may eat or drink these products with your meals, but do not use them alone when taking this medicine.']"
14,['Citalopram is an antidepressant belonging to a group of drugs called selective serotonin reuptake inhibitors (SSRIs).'],Citalopram,"['a light-headed feeling, like you might pass out;', 'blurred vision, eye pain or redness, seeing halos around lights;', 'fast or pounding heartbeats, pain or fluttering in your chest, shortness of breath, and sudden dizziness (like you might pass out);', 'a seizure;', 'manic episodes - racing thoughts, increased energy, decreased need for sleep, risk-taking behavior, being agitated or talkative;', 'severe nervous system reaction - very stiff (rigid) muscles, high fever, sweating, confusion, fast or uneven heartbeats, tremors; or', 'low blood sodium - headache, confusion, problems with thinking or memory, weakness, feeling unsteady.']","['sexual problems;', 'dizziness, drowsiness;', 'dry mouth, thirst, increased sweating or urination;', 'loss of appetite, nausea, diarrhea, constipation;', 'feeling anxious, agitated, or shaky;', 'feeling weak or tired;', 'sleep problems (insomnia);', 'yawning;', 'increased muscle movement;', 'nosebleeds, heavy menstrual bleeding; or', 'cold symptoms such as stuffy nose, sneezing, sore throat.']","['Over 60 years of age:', 'Recommended dose: 20 mg orally once a day', '', 'Comments:', '-Doses of 60 mg/day did not demonstrate an advantage in efficacy over 40 mg/day doses.', '-Acute episodes of depression may require several months or more of sustained pharmacologic therapy.', '', 'Use: Treatment of depression']"
15,['Clindamycin is an antibiotic that fights bacteria in the body.'],Clindamycin,"['any change in bowel habits;', 'severe stomach pain, diarrhea that is watery or bloody;', 'little or no urination; or', 'a metallic taste in your mouth (after clindamycin injection).']","['nausea, vomiting, stomach pain;', 'mild skin rash; or', 'vaginal itching or discharge;']","['Seek medical treatment if you have symptoms of a serious drug reaction that can affect many parts of your body. Symptoms may include: skin rash, fever, swollen glands, flu-like symptoms, muscle aches, severe weakness, unusual bruising, or yellowing of your skin or eyes. This reaction may occur several weeks after you began using clindamycin.']"
16,['Clonazepam is a benzodiazepine (ben-zoe-dye-AZE-eh-peen). It is thought that benzodiazepines work by enhancing the activity of certain neurotransmitters in the brain.'],Clonazepam,"['kidney or liver disease;', 'breathing problems;', 'depression, mood problems, or suicidal thoughts or behavior; or', 'porphyria (a genetic enzyme disorder that causes symptoms affecting the skin or nervous system).']","['new or worsening seizures;', 'severe drowsiness;', 'weak or shallow breathing;', 'unusual changes in mood or behavior;', 'confusion, paranoia, nightmares, hallucinations;', 'thoughts of suicide or hurting yourself;', 'unusual or involuntary eye movements.']","[""Seizures are often treated with a combination of drugs. Use all medications as directed by your doctor. Read the medication guide or patient instructions provided with each medication. Do not change your doses or medication schedule without your doctor's advice.""]"
17,['Cyclobenzaprine is a muscle relaxant. It works by blocking nerve impulses (or pain sensations) that are sent to your brain. Cyclobenzaprine is used together with rest and physical therapy to treat skeletal muscle conditions such as pain or injury.'],Cyclobenzaprine,"['thyroid disease;', 'liver disease;', 'glaucoma;', 'enlarged prostate; or', 'problems with urination.']","['fast or irregular heartbeats;', 'chest pain or pressure, pain spreading to your jaw or shoulder; or', 'sudden numbness or weakness (especially on one side of the body), slurred speech, balance problems.']",['Serious side effects may be more likely in older adults.']
18,['Cymbalta is a selective serotonin and norepinephrine reuptake inhibitor antidepressant (SSNRI). Duloxetine affects chemicals in the brain that may be unbalanced in people with depression.'],Cymbalta,"['pounding heartbeats or fluttering in your chest;', 'a light-headed feeling, like you might pass out;', 'easy bruising, unusual bleeding;', 'vision changes;', 'painful or difficult urination;', 'liver problems - right-sided upper stomach pain, itching, dark urine, jaundice (yellowing of the skin or eyes);', 'low blood sodium - headache, confusion, problems with thinking or memory, weakness, feeling unsteady; or', 'manic episodes - racing thoughts, increased energy, decreased need for sleep, risk-taking behavior, being agitated or talkative.']","['drowsiness;', 'nausea, constipation, loss of appetite;', 'dry mouth; or', 'increased sweating.']",['Store at room temperature away from moisture and heat.']
19,"['Doxycycline is used to treat many different bacterial infections, such as acne, urinary tract infections, intestinal infections, respiratory infections, eye infections, gonorrhea, chlamydia, syphilis, periodontitis (gum disease), and others. Doxycycline works by stopping the growth of bacteria when treating bacterial infections and is also thought to have an anti-inflammatory action when used for other conditions. Doxycycline is a tetracycline antibiotic.']",Doxycycline,"['severe stomach pain, diarrhea that is watery or bloody;', 'throat irritation, trouble swallowing;', 'chest pain, irregular heart rhythm, feeling short of breath;', 'little or no urination;', 'low white blood cell counts - fever, chills, swollen glands, body aches, weakness, pale skin, easy bruising or bleeding;', 'severe headaches, ringing in your ears, dizziness, nausea, vision problems, pain behind your eyes;', 'loss of appetite, upper stomach pain (that may spread to your back), tiredness, nausea or vomiting, fast heart rate, dark urine, jaundice (yellowing of the skin or eyes).']","['nausea and vomiting;', 'upset stomach;', 'loss of appetite;', 'mild diarrhea;', 'skin rash or itching;', 'darkened skin color;', 'vaginal itching or discharge.']","['Store at room temperature away from moisture, heat and light.']"
20,['Dupixent is an injectable prescription medicine used to treat a number of inflammatory conditions.'],Dupixent,"['eye problems;', 'a parasite infection (such as roundworms or tapeworms); or', 'if you are scheduled to receive any vaccine.']","['For the every-other-week injection schedule: Skip the missed dose and use the medicine at your next scheduled injection time.', 'For the every-4-weeks schedule: Start a new dosing schedule on the day you use the missed injection and use your next injection 4 weeks later.']","['Each prefilled syringe or injection pen is for one use only. Throw it away after one use, even if there is still medicine left inside.']"
21,['Entresto contains a combination of sacubitril and valsartan. Sacubitril is a blood pressure medicine. It works by increasing the levels of certain proteins in the body that can dilate (widen) blood vessels. This helps lower blood pressure by reducing sodium levels.'],Entresto,"['liver disease;', 'diabetes;', 'hereditary angioedema;', 'if you are on a low-salt-diet; or', 'if you are dehydrated.']","['a light-headed feeling, like you might pass out;', 'extreme tiredness;', 'high potassium - slow heart rate, weak pulse, muscle weakness, tingly feeling; or', 'kidney problems - little or no urinating, painful or difficult urination, swelling in your feet or ankles, feeling tired or short of breath.']",['Seek emergency medical attention or call the Poison Help line at 1-800-222-1222.']
22,['Entyvio reduces the effects of a substance in the body that can cause inflammation.'],Entyvio,"['fever, chills, body aches, cold or flu symptoms, mouth and throat ulcers, skin sores;', 'pain, warmth, swelling, or oozing around your anal area;', 'nausea, vomiting, severe diarrhea, diarrhea that is watery or bloody, stomach cramps, weight loss;', 'cough, pain when swallowing; or', 'liver problems - nausea, upper stomach pain, itching, tired feeling, loss of appetite, dark urine, clay-colored stools, jaundice (yellowing of the skin or eyes).']","['fever, sore throat, flu symptoms;', 'cold symptoms such as stuffy nose, sinus pain, sneezing;', 'cough with mucus, shortness of breath, chest discomfort;', 'pain in your arms or legs;', 'tiredness;', 'headache, joint pain, back pain;', 'rash, itching; or', 'nausea.']","['Since this medicine is given by a healthcare professional in a medical setting, an overdose is unlikely to occur.']"
23,['Farxiga is an oral diabetes medicine that helps control blood sugar levels. Dapagliflozin works by helping the kidneys get rid of glucose from your bloodstream.'],Farxiga,"['polycystic kidney disease;', 'liver disease;', 'bladder infections or other urination problems;', 'problems with your pancreas, including surgery;', 'alcoholism, or if you currently drink large amounts of alcohol; or', 'if you are on a low salt diet.']","['dehydration - dizziness, confusion, feeling very thirsty, less urination;', 'kidney problems - little or no urination, swelling in your feet or ankles, feeling tired or short of breath;', 'ketoacidosis (too much acid in the blood) - nausea, vomiting, stomach pain, confusion, unusual drowsiness, or trouble breathing; or', 'signs of a bladder infection--pain or burning when you urinate, increased urination, blood in your urine, fever, pain in your pelvis or back.']","['To improve glycemic control:', 'Initial dose: 5 mg orally once a day', '-May increase to 10 mg orally once a day for additional glycemic control if lower dose has been tolerated', 'Maximum dose: 10 mg/day', '', 'To reduce the risk of hospitalization for heart failure: 10 mg orally once a day', '', 'Comments:', '-Correct volume depletion prior to initiating therapy.', '-Ensure adequate renal function (eGFR greater than 45 mL/min/1.73 m2) as glycemic efficacy is dependent on adequate renal function.', '-If used in combination with insulin or an insulin secretagogue, a lower dose of insulin or the insulin secretagogue should be considered to reduce the risk of hypoglycemia.', '', 'Uses:', '-As an adjunct to diet and exercise to improve glycemic control in patients with type 2 diabetes mellitus.', '-To reduce the risk of hospitalization for heart failure in patients with type 2 diabetes mellitus and established cardiovascular disease (CVD) or multiple cardiovascular (CV) risk factors.']"
24,"['Gabapentin (Neurontin, Gralise, Horizant) is a medicine used to treat partial seizures, nerve pain from shingles and restless leg syndrome. It works on the chemical messengers in your brain and nerves.  Gabapentin is from a group of medicines called anticonvulsants. ']",Gabapentin,"['weak or shallow breathing;', 'blue-colored skin, lips, fingers, and toes;', 'confusion, extreme drowsiness or weakness;', 'problems with balance or muscle movement;', 'unusual or involuntary eye movements; or', 'increased seizures.']","['changes in behavior;', 'memory problems;', 'trouble concentrating; or', 'acting restless, hostile, or aggressive.']","['In case of emergency, wear or carry medical identification to let others know you have seizures.']"
25,"[""Gilenya is an immunosuppressant. It works by keeping immune cells trapped in your lymph nodes so they can't reach the central nervous system (brain and spinal cord).""]",Gilenya,"['an active or chronic infection;', 'a heart rhythm disorder;', 'chest pain (angina) or other heart problems;', 'a heart attack or stroke, including ""mini-stroke"";', 'high or low blood pressure;', 'fainting spells;', 'diabetes;', 'skin cancer;', 'liver disease;', 'an eye condition called uveitis; or', 'asthma, sleep apnea, or other breathing disorder.']","['shiny nodules on your skin, sores that do not heal, unusual moles that change in color or size;', 'blurred vision, eye pain, or a blind spot or shadows in the center of your vision (may occur 3 to 4 months after you start taking fingolimod);', 'new or worsened breathing problems;', 'sores in your mouth and throat, cold sores, sores on your genital or anal area;', 'blood vessel problems in the brain - headache, confusion, change in mental status, sudden vision loss, seizure (convulsions);', 'heart problems - chest pain, slow or irregular heartbeats, and feeling dizzy or tired;', 'liver problems -nausea, upper stomach pain, tiredness, loss of appetite, dark urine, jaundice (yellowing of the skin or eyes); or', 'signs of infection - fever, chills, body aches, tiredness, nausea and vomiting, neck stiffness, increased sensitivity to light.']","['Call your doctor for instructions. If you miss 1 or more doses, you may need to take your next dose under medical observation in a medical setting.']"
26,['Humira is a tumor necrosis factor (TNF) blocker that reduces the effects of a substance in the body that can cause inflammation.'],Humira,"['fever, swollen glands, night sweats, general feeling of illness;', 'joint and muscle pain, skin rash, easy bruising or bleeding;', 'pale skin, feeling light-headed or short of breath, cold hands and feet;', 'pain in your upper stomach that may spread to your shoulder; or', 'loss of appetite, feeling full after eating only a small amount, weight loss.']","['new or worsening psoriasis (raised, silvery flaking of the skin);', 'a sore or bump on your skin that does not heal;', 'symptoms of sepsis - confusion, chills, severe drowsiness, fast heartbeats, rapid breathing, feeling very ill;', 'liver problems - body aches, tiredness, stomach pain, right-sided upper stomach pain, vomiting, loss of appetite, dark urine, clay-colored stools, jaundice (yellowing of the skin or eyes);', 'lupus-like syndrome - joint pain or swelling, chest pain, shortness of breath, patchy skin color that worsens in sunlight;', 'nerve problems - numbness, tingling, dizziness, vision problems, weakness in your arms or legs; or', 'signs of tuberculosis - fever with ongoing cough, weight loss (fat or muscle).']","['40 mg subcutaneously every other week', '', 'In some patients not taking concomitant methotrexate, the dosing interval may be increased to 40 mg every week.', '', 'Methotrexate, glucocorticoids, salicylates, nonsteroidal anti-inflammatory drugs, analgesics, or other disease modifying agents may be given concomitantly.']"
27,"['Hydrochlorothiazide is a thiazide diuretic (water pill) that helps prevent your body from absorbing too much salt, which can cause fluid retention.']",Hydrochlorothiazide,"['a light-headed feeling;', 'eye pain, vision problems;', 'jaundice (yellowing of the skin or eyes);', 'pale skin, easy bruising, unusual bleeding (nose, mouth, vagina, or rectum);', 'shortness of breath, wheezing, cough with foamy mucus, chest pain;', 'dehydration symptoms - feeling very thirsty or hot, being unable to urinate, heavy sweating, or hot and dry skin; or', 'signs of an electrolyte imbalance - increased thirst or urination, confusion, vomiting, constipation, muscle pain, leg cramps, bone pain, lack of energy, irregular heartbeats, tingly feeling.']","['weakness;', 'feeling like you might pass out;', 'severe pain in your upper stomach spreading to your back, nausea and vomiting;', 'fever, chills, tiredness, mouth sores, skin sores, easy bruising, unusual bleeding, pale skin, cold hands and feet, feeling light-headed or short of breath; or', 'electrolyte imbalance.']","['Initial: 25 mg orally once daily', 'Maintenance dose: May increase to 50 mg twice daily']"
28,"['Hydroxychloroquine is a quinoline medicine used to treat or prevent malaria, a disease caused by parasites that enter the body through the bite of a mosquito. Malaria is common in areas such as Africa, South America, and Southern Asia. This medicine is not effective against all strains of malaria.']",Hydroxychloroquine,"['a seizure;', 'yellowing of your eyes;', 'ringing in your ears, trouble hearing;', 'unusual mood changes;', 'severe muscle weakness, loss of coordination, underactive reflexes;', 'any sudden changes in mood or behavior, or thoughts about suicide;', 'low blood cell counts - fever, chills, tiredness, sore throat, mouth sores, easy bruising, unusual bleeding, pale skin, cold hands and feet, feeling light-headed or short of breath;', 'low blood sugar - headache, hunger, sweating, irritability, dizziness, fast heart rate, and feeling anxious or shaky; or', 'a serious drug reaction that can affect many parts of your body - skin rash, fever, swollen glands, muscle aches, severe weakness, unusual bruising, or yellowing of your skin or eyes.']","['blurred vision, trouble focusing, trouble reading;', 'distorted vision, blind spots;', 'changes in your color vision;', 'hazy or cloudy vision;', 'seeing light flashes or streaks, seeing halos around lights; or', 'increased sensitivity to light.']","['Store at room temperature away from moisture, heat, and light.']"
29,['Ibuprofen is a nonsteroidal anti-inflammatory drug (NSAID). It works by reducing hormones that cause inflammation and pain in the body.'],Ibuprofen,"['changes in your vision;', 'shortness of breath (even with mild exertion);', 'swelling or rapid weight gain;', 'a skin rash, no matter how mild;', 'signs of stomach bleeding - bloody or tarry stools, coughing up blood or vomit that looks like coffee grounds;', 'liver problems - nausea, upper stomach pain, itching, tired feeling, flu-like symptoms, loss of appetite, dark urine, clay-colored stools, jaundice (yellowing of the skin or eyes);', 'low red blood cells (anemia) - pale skin, feeling light-headed or short of breath, rapid heart rate, trouble concentrating; or', 'kidney problems - little or no urinating, painful or difficult urination, swelling in your feet or ankles, feeling tired or short of breath.']","['nausea, vomiting, gas;', 'bleeding; or', 'dizziness, headache.']","['Get emergency medical help if you have signs of a heart attack or stroke: chest pain spreading to your jaw or shoulder, sudden numbness or weakness on one side of the body, slurred speech, leg swelling, feeling short of breath.']"
30,['Imbruvica is a cancer medicine that interferes with the growth and spread of cancer cells in the body.'],Imbruvica,"['severe or ongoing diarrhea;', 'chest pain, pounding heartbeats or fluttering in your chest, feeling like you might pass out;', 'severe headache, blurred vision, pounding in your neck or ears;', 'pale skin, cold hands and feet;', 'easy bruising or bleeding (nosebleeds, bleeding gums);', 'signs of bleeding inside your body - dizziness, confusion, problems with speech, prolonged headache, black or bloody stools, pink or brown urine, or coughing up blood or vomit that looks like coffee grounds;', 'signs of infection - fever, chills, weakness, mouth sores, cough with mucus, trouble breathing;', 'kidney problems - little or no urinating, swelling in your feet or ankles; or', 'signs of tumor cell breakdown - tiredness, muscle cramps, nausea, vomiting, diarrhea, fast or slow heart rate, tingling in your hands and feet or around your mouth;']","['diarrhea;', 'tiredness;', 'muscle and bone pain;', 'rash; or', 'bruising.']","['Imbruvica can make it easier for you to bleed, even from a minor injury. Seek medical attention if you have bleeding that will not stop. Bleeding may also happen inside your body, such as in your stomach or intestines, or in your brain.']"
31,['Invokana is an oral diabetes medicine that helps control blood sugar levels. Canagliflozin works by helping the kidneys get rid of glucose from your bloodstream.'],Invokana,"['heart problems;', 'a diabetic foot ulcer or amputation;', 'circulation problems or nerve problems in your legs or feet;', 'kidney disease;', 'liver disease;', 'bladder infections or other urination problems;', 'a pancreas disorder;', 'if you drink often, or drink large amounts of alcohol;', 'if you are eating less than usual; or', 'if you are on a low salt diet.']","['a light-headed feeling, like you might pass out;', 'little or no urination;', 'pain or burning when you urinate;', 'new pain, tenderness, sores, ulcers, or infections in your legs or feet;', 'high potassium - nausea, irregular heartbeats, weakness, loss of movement;', 'ketoacidosis (too much acid in the blood) - nausea, vomiting, stomach pain, confusion, unusual drowsiness, or trouble breathing; or', 'dehydration symptoms - dizziness, weakness, feeling light-headed (like you might pass out).']","['Initial dose: 100 mg orally once a day', '-May increase to 300 mg orally once a day for additional glycemic control but only in patients who have tolerated lower dose and who have an eGFR of 60 mL/min/1.73 m2 or greater', 'Maximum dose: 300 mg/day', '', 'Comments:', '-Do not initiate in patients with an eGFR less than 45 mL/min/1.73 m2 as this drug will not be effective.', '-If used in combination with insulin or an insulin secretagogue, a lower dose of insulin or the insulin secretagogue should be considered to reduce the risk of hypoglycemia.', '', 'Use: As an adjunct to diet and exercise to improve glycemic control in patients with type 2 diabetes mellitus.']"
32,['Januvia is an oral diabetes medicine that helps control blood sugar levels. It works by regulating the levels of insulin your body produces after eating.'],Januvia,"['severe autoimmune reactionitching, blisters, breakdown of the outer layer of skin;', 'severe or ongoing pain in your joints;', 'little or no urination; or', 'symptoms of heart failureshortness of breath (even while lying down), swelling in your legs or feet, rapid weight gain.']","['low blood sugar;', 'headache; or', 'runny or stuffy nose, sore throat.']","[""Follow your doctor's instructions about any restrictions on food, beverages, or activity.""]"
